planta,periodo,volumen_m3,agua,personal,mantenimiento,energia,floculante,coagulante,estabilizador_ph,dap,urea,melaza,notas
La Luz,2025-01,1500,120.50,850.00,200.00,450.00,50.00,45.00,30.00,25.00,20.00,15.00,Operación normal enero
La Luz,2025-02,1620,128.00,870.00,180.00,465.00,52.00,46.50,31.00,26.00,21.00,16.00,Incremento producción febrero
La Luz,2025-03,1580,124.00,860.00,350.00,455.00,51.00,45.50,30.50,25.50,20.50,15.50,Mantenimiento preventivo marzo
Taura 7,2025-01,2200,180.00,1200.00,280.00,680.00,75.00,68.00,45.00,38.00,30.00,22.00,Inicio año Taura
Taura 7,2025-02,2350,192.00,1230.00,260.00,710.00,78.00,70.50,47.00,40.00,32.00,24.00,Producción alta febrero
Taura 7,2025-03,2280,186.00,1210.00,420.00,695.00,76.00,69.00,46.00,39.00,31.00,23.00,Reparación bomba marzo
Santa Monica,2025-01,1800,145.00,980.00,220.00,540.00,60.00,54.00,36.00,30.00,24.00,18.00,Operación estándar
Santa Monica,2025-02,1920,154.00,1000.00,200.00,565.00,63.00,56.50,38.00,32.00,26.00,20.00,Aumento eficiencia
Santa Monica,2025-03,1870,150.00,990.00,380.00,550.00,61.00,55.00,37.00,31.00,25.00,19.00,Cambio filtros
San Diego,2025-01,2000,160.00,1100.00,250.00,600.00,68.00,62.00,40.00,34.00,27.00,20.00,Normal
San Diego,2025-02,2120,170.00,1120.00,230.00,625.00,70.00,64.00,42.00,36.00,29.00,22.00,Optimización
San Diego,2025-03,2080,166.00,1110.00,400.00,615.00,69.00,63.00,41.00,35.00,28.00,21.00,Mantenimiento trimestral
Chanduy,2025-01,1400,112.00,780.00,180.00,420.00,45.00,40.00,28.00,22.00,18.00,14.00,Temporada baja
Chanduy,2025-02,1520,122.00,800.00,165.00,440.00,48.00,43.00,30.00,24.00,20.00,16.00,Incremento gradual
Chanduy,2025-03,1480,118.00,790.00,320.00,430.00,46.00,41.00,29.00,23.00,19.00,15.00,Limpieza general
